Fault_Type,Fault_Location,Severity_Level,Module_Age_Years,Rectification_Action,Previous_Rectification_Action,Irradiance,Weather_Condition,Timestamp
Open Circuit,String-10_Module-19,Low,14,Tighten Connection,Inspection Done,882,Cloudy,2023-06-28 10:00:00
Hotspot,String-6_Module-8,High,14,Replace Panel Section,Inspection Done,649,Sunny,2023-04-01 15:00:00
Shadowing,String-5_Module-15,Medium,14,Remove Obstruction,Inspection Done,273,Rainy,2023-04-18 22:00:00
Open Circuit,String-10_Module-4,Low,3,Tighten Connection,Inspection Done,772,Cloudy,2023-01-26 00:00:00
Short Circuit,String-2_Module-8,High,12,Replace Wiring,Replace Wiring,864,Sunny,2023-05-07 03:00:00
Hotspot,String-5_Module-20,Medium,7,Inspect Cells,Inspection Done,475,Cloudy,2023-06-30 13:00:00
Open Circuit,String-3_Module-9,High,4,Replace Wiring,No Action,247,Rainy,2023-02-09 09:00:00
Open Circuit,String-10_Module-7,Medium,9,Replace Connector,Replace Connector,410,Cloudy,2023-04-28 00:00:00
Short Circuit,String-5_Module-2,High,3,Replace Wiring,Replace Wiring,850,Rainy,2023-02-01 12:00:00
Shadowing,String-6_Module-5,High,5,Adjust Tilt,No Action,821,Sunny,2023-03-31 09:00:00
Short Circuit,String-7_Module-18,Critical,3,Replace Module,Inspection Done,894,Rainy,2023-01-04 07:00:00
Open Circuit,String-9_Module-2,Low,7,Tighten Connection,No Action,739,Rainy,2023-05-07 00:00:00
Short Circuit,String-5_Module-12,Critical,5,Replace Module,No Action,908,Sunny,2023-01-14 14:00:00
Hotspot,String-2_Module-12,Medium,9,Inspect Cells,No Action,390,Rainy,2023-07-11 02:00:00
Shadowing,String-3_Module-14,Medium,7,Remove Obstruction,No Action,514,Sunny,2023-01-09 11:00:00
Short Circuit,String-4_Module-9,High,2,Replace Wiring,Inspection Done,762,Cloudy,2023-02-24 08:00:00
Open Circuit,String-4_Module-7,Critical,4,Replace Module,Replace Module,860,Sunny,2023-06-07 02:00:00
Hotspot,String-1_Module-7,High,9,Replace Panel Section,No Action,979,Sunny,2023-05-17 00:00:00
Hotspot,String-6_Module-17,High,12,Replace Panel Section,Replace Panel Section,761,Sunny,2023-05-17 10:00:00
Hotspot,String-3_Module-19,Low,14,Clean Panel,Clean Panel,957,Sunny,2023-04-01 14:00:00
Open Circuit,String-6_Module-11,Low,2,Tighten Connection,Tighten Connection,312,Rainy,2023-05-29 22:00:00
Open Circuit,String-5_Module-2,Critical,10,Replace Module,No Action,369,Rainy,2023-05-29 20:00:00
Open Circuit,String-2_Module-11,Medium,9,Replace Connector,Replace Connector,667,Cloudy,2023-04-18 03:00:00
Open Circuit,String-7_Module-11,High,10,Replace Wiring,Replace Wiring,877,Rainy,2023-05-18 08:00:00
Hotspot,String-7_Module-6,Medium,5,Inspect Cells,Inspect Cells,213,Sunny,2023-07-14 06:00:00
Hotspot,String-5_Module-10,Critical,2,Replace Module,No Action,914,Rainy,2023-03-13 17:00:00
Shadowing,String-8_Module-7,High,4,Adjust Tilt,Adjust Tilt,487,Cloudy,2023-06-24 11:00:00
Shadowing,String-5_Module-17,Medium,12,Remove Obstruction,No Action,388,Rainy,2023-04-25 09:00:00
Open Circuit,String-4_Module-7,Medium,12,Replace Connector,Replace Connector,354,Rainy,2023-02-20 07:00:00
Open Circuit,String-10_Module-3,Low,7,Tighten Connection,Tighten Connection,766,Sunny,2023-06-05 10:00:00
Shadowing,String-7_Module-16,Medium,12,Remove Obstruction,Inspection Done,893,Rainy,2023-05-17 09:00:00
Short Circuit,String-1_Module-4,Medium,13,Replace Fuse,Inspection Done,921,Rainy,2023-05-26 02:00:00
Short Circuit,String-8_Module-2,Medium,8,Replace Fuse,Inspection Done,670,Rainy,2023-07-10 06:00:00
Short Circuit,String-8_Module-17,Low,3,Inspect Junction Box,No Action,274,Cloudy,2023-07-10 18:00:00
Hotspot,String-9_Module-14,Critical,14,Replace Module,Inspection Done,476,Rainy,2023-07-07 00:00:00
Shadowing,String-8_Module-9,Medium,1,Remove Obstruction,Remove Obstruction,844,Rainy,2023-03-26 09:00:00
Hotspot,String-5_Module-15,Critical,4,Replace Module,No Action,542,Rainy,2023-01-27 10:00:00
Hotspot,String-6_Module-18,Medium,2,Inspect Cells,Inspect Cells,624,Cloudy,2023-01-28 12:00:00
Short Circuit,String-3_Module-7,Medium,8,Replace Fuse,Replace Fuse,770,Sunny,2023-01-22 22:00:00
Shadowing,String-8_Module-14,Critical,4,Reinstall Module,Inspection Done,710,Cloudy,2023-01-22 06:00:00
Short Circuit,String-1_Module-19,Critical,2,Replace Module,Inspection Done,381,Cloudy,2023-05-10 20:00:00
Shadowing,String-7_Module-14,Low,14,Clean Panel,Clean Panel,657,Cloudy,2023-07-03 17:00:00
Short Circuit,String-7_Module-16,Critical,6,Replace Module,Replace Module,263,Sunny,2023-01-10 21:00:00
Shadowing,String-7_Module-6,High,6,Adjust Tilt,Inspection Done,459,Rainy,2023-06-09 12:00:00
Short Circuit,String-10_Module-1,Low,10,Inspect Junction Box,Inspection Done,392,Cloudy,2023-01-29 15:00:00
Shadowing,String-1_Module-9,Medium,4,Remove Obstruction,No Action,854,Cloudy,2023-05-10 09:00:00
Hotspot,String-6_Module-13,Medium,6,Inspect Cells,Inspect Cells,815,Cloudy,2023-04-05 23:00:00
Shadowing,String-1_Module-18,High,13,Adjust Tilt,Adjust Tilt,605,Sunny,2023-01-18 18:00:00
Hotspot,String-1_Module-1,Medium,2,Inspect Cells,No Action,925,Rainy,2023-03-26 09:00:00
Short Circuit,String-4_Module-5,Low,10,Inspect Junction Box,No Action,953,Rainy,2023-06-11 15:00:00
Open Circuit,String-5_Module-12,Medium,12,Replace Connector,Inspection Done,920,Cloudy,2023-02-27 06:00:00
Open Circuit,String-10_Module-1,Medium,2,Replace Connector,No Action,292,Cloudy,2023-04-17 11:00:00
Shadowing,String-2_Module-19,Critical,10,Reinstall Module,No Action,629,Rainy,2023-03-24 21:00:00
Open Circuit,String-2_Module-19,High,14,Replace Wiring,Inspection Done,853,Rainy,2023-01-15 00:00:00
Hotspot,String-2_Module-17,Critical,4,Replace Module,Replace Module,633,Rainy,2023-04-27 11:00:00
Open Circuit,String-7_Module-12,Critical,14,Replace Module,No Action,603,Cloudy,2023-06-06 22:00:00
Short Circuit,String-9_Module-9,Critical,8,Replace Module,Inspection Done,633,Sunny,2023-07-03 16:00:00
Shadowing,String-10_Module-9,Critical,14,Reinstall Module,Inspection Done,311,Cloudy,2023-04-21 00:00:00
Short Circuit,String-4_Module-15,Low,7,Inspect Junction Box,Inspect Junction Box,574,Cloudy,2023-07-14 12:00:00
Shadowing,String-6_Module-6,High,12,Adjust Tilt,Adjust Tilt,258,Sunny,2023-06-16 10:00:00
Short Circuit,String-5_Module-20,High,9,Replace Wiring,Replace Wiring,242,Cloudy,2023-04-05 07:00:00
Open Circuit,String-7_Module-16,Medium,14,Replace Connector,No Action,406,Sunny,2023-07-09 12:00:00
Short Circuit,String-8_Module-15,Critical,8,Replace Module,Inspection Done,979,Rainy,2023-01-06 21:00:00
Open Circuit,String-4_Module-10,High,5,Replace Wiring,Replace Wiring,495,Sunny,2023-07-18 12:00:00
Hotspot,String-6_Module-14,Critical,13,Replace Module,Inspection Done,317,Rainy,2023-07-07 20:00:00
Hotspot,String-5_Module-10,High,2,Replace Panel Section,Replace Panel Section,731,Rainy,2023-03-27 19:00:00
Short Circuit,String-6_Module-4,Low,5,Inspect Junction Box,No Action,421,Rainy,2023-07-02 21:00:00
Short Circuit,String-8_Module-9,Medium,8,Replace Fuse,Inspection Done,365,Sunny,2023-07-21 05:00:00
Hotspot,String-4_Module-12,Low,10,Clean Panel,Clean Panel,842,Sunny,2023-03-03 05:00:00
Hotspot,String-3_Module-9,Low,9,Clean Panel,Inspection Done,355,Rainy,2023-01-16 12:00:00
Open Circuit,String-8_Module-4,High,12,Replace Wiring,No Action,383,Rainy,2023-01-05 04:00:00
Hotspot,String-6_Module-6,Critical,12,Replace Module,Replace Module,289,Cloudy,2023-01-18 12:00:00
Hotspot,String-7_Module-16,Critical,12,Replace Module,No Action,293,Sunny,2023-01-26 06:00:00
Open Circuit,String-5_Module-3,Medium,13,Replace Connector,Inspection Done,212,Sunny,2023-03-26 17:00:00
Open Circuit,String-10_Module-8,Critical,9,Replace Module,Inspection Done,941,Rainy,2023-06-28 08:00:00
Shadowing,String-10_Module-14,Critical,13,Reinstall Module,Reinstall Module,637,Cloudy,2023-04-15 05:00:00
Open Circuit,String-4_Module-9,Low,13,Tighten Connection,Inspection Done,737,Sunny,2023-01-28 17:00:00
Short Circuit,String-2_Module-6,Medium,1,Replace Fuse,Inspection Done,786,Sunny,2023-01-01 21:00:00
Shadowing,String-8_Module-10,Critical,9,Reinstall Module,Inspection Done,349,Rainy,2023-01-12 03:00:00
Short Circuit,String-8_Module-3,High,7,Replace Wiring,Replace Wiring,859,Rainy,2023-03-21 16:00:00
Hotspot,String-9_Module-8,Medium,9,Inspect Cells,No Action,207,Cloudy,2023-02-20 20:00:00
Hotspot,String-3_Module-10,Medium,8,Inspect Cells,No Action,228,Sunny,2023-07-23 02:00:00
Hotspot,String-5_Module-13,Critical,1,Replace Module,Replace Module,495,Sunny,2023-04-03 22:00:00
Shadowing,String-1_Module-14,Critical,12,Reinstall Module,Inspection Done,920,Sunny,2023-04-21 00:00:00
Hotspot,String-10_Module-19,Low,8,Clean Panel,No Action,839,Sunny,2023-01-08 01:00:00
Hotspot,String-9_Module-15,Low,8,Clean Panel,Clean Panel,539,Sunny,2023-04-05 22:00:00
Short Circuit,String-2_Module-16,Critical,11,Replace Module,Replace Module,827,Rainy,2023-04-29 18:00:00
Shadowing,String-2_Module-6,High,3,Adjust Tilt,Inspection Done,638,Cloudy,2023-04-23 13:00:00
Shadowing,String-7_Module-18,Critical,1,Reinstall Module,Inspection Done,343,Cloudy,2023-01-13 12:00:00
Shadowing,String-6_Module-4,Low,8,Clean Panel,Clean Panel,946,Cloudy,2023-05-18 23:00:00
Open Circuit,String-4_Module-17,Critical,3,Replace Module,No Action,718,Cloudy,2023-05-04 11:00:00
Shadowing,String-5_Module-18,Critical,3,Reinstall Module,No Action,244,Sunny,2023-02-14 17:00:00
Hotspot,String-2_Module-1,Critical,1,Replace Module,Replace Module,438,Rainy,2023-07-27 19:00:00
Short Circuit,String-1_Module-18,Medium,11,Replace Fuse,Inspection Done,354,Cloudy,2023-05-20 06:00:00
Open Circuit,String-2_Module-5,Medium,5,Replace Connector,Replace Connector,380,Sunny,2023-06-20 02:00:00
Hotspot,String-8_Module-8,High,10,Replace Panel Section,Replace Panel Section,414,Cloudy,2023-06-05 21:00:00
Short Circuit,String-9_Module-5,Critical,7,Replace Module,Inspection Done,287,Sunny,2023-01-24 19:00:00
Hotspot,String-5_Module-1,Critical,10,Replace Module,Inspection Done,455,Cloudy,2023-04-07 13:00:00
Hotspot,String-9_Module-16,Critical,9,Replace Module,Replace Module,710,Sunny,2023-04-28 19:00:00
Hotspot,String-4_Module-8,Critical,12,Replace Module,Replace Module,272,Cloudy,2023-07-15 04:00:00
Shadowing,String-6_Module-16,Medium,7,Remove Obstruction,No Action,378,Cloudy,2023-05-11 03:00:00
Shadowing,String-3_Module-17,Medium,9,Remove Obstruction,No Action,411,Cloudy,2023-07-21 10:00:00
Hotspot,String-9_Module-15,Low,8,Clean Panel,No Action,433,Cloudy,2023-01-06 05:00:00
Short Circuit,String-2_Module-16,Critical,12,Replace Module,No Action,664,Rainy,2023-04-01 11:00:00
Hotspot,String-6_Module-18,Critical,2,Replace Module,No Action,950,Rainy,2023-05-10 17:00:00
Hotspot,String-10_Module-3,Critical,1,Replace Module,No Action,422,Rainy,2023-03-22 03:00:00
Hotspot,String-7_Module-4,Medium,7,Inspect Cells,No Action,830,Rainy,2023-02-04 07:00:00
Shadowing,String-1_Module-2,Medium,7,Remove Obstruction,Remove Obstruction,463,Rainy,2023-04-21 17:00:00
Open Circuit,String-7_Module-5,High,14,Replace Wiring,Replace Wiring,406,Cloudy,2023-03-25 08:00:00
Shadowing,String-2_Module-20,Medium,8,Remove Obstruction,No Action,806,Sunny,2023-05-11 13:00:00
Short Circuit,String-4_Module-15,Critical,5,Replace Module,No Action,933,Rainy,2023-03-28 16:00:00
Shadowing,String-8_Module-10,High,3,Adjust Tilt,No Action,565,Rainy,2023-07-06 13:00:00
Short Circuit,String-10_Module-10,Low,12,Inspect Junction Box,Inspect Junction Box,475,Cloudy,2023-05-25 19:00:00
Hotspot,String-7_Module-16,Critical,8,Replace Module,No Action,579,Cloudy,2023-02-06 09:00:00
Short Circuit,String-10_Module-10,Critical,6,Replace Module,Replace Module,942,Rainy,2023-04-11 18:00:00
Open Circuit,String-10_Module-2,Critical,11,Replace Module,No Action,508,Cloudy,2023-07-26 23:00:00
Shadowing,String-6_Module-8,High,3,Adjust Tilt,Inspection Done,830,Sunny,2023-03-06 21:00:00
Hotspot,String-1_Module-10,Medium,1,Inspect Cells,No Action,467,Rainy,2023-05-31 11:00:00
Open Circuit,String-2_Module-10,High,3,Replace Wiring,No Action,984,Rainy,2023-04-22 12:00:00
Shadowing,String-9_Module-12,Medium,5,Remove Obstruction,No Action,263,Sunny,2023-07-01 04:00:00
Hotspot,String-5_Module-11,Medium,14,Inspect Cells,Inspect Cells,549,Cloudy,2023-02-09 07:00:00
Shadowing,String-7_Module-18,Low,3,Clean Panel,No Action,693,Sunny,2023-05-05 20:00:00
Open Circuit,String-9_Module-4,Critical,1,Replace Module,Replace Module,722,Sunny,2023-06-05 05:00:00
Hotspot,String-6_Module-4,High,5,Replace Panel Section,Replace Panel Section,297,Rainy,2023-03-21 19:00:00
Shadowing,String-6_Module-20,Low,10,Clean Panel,Inspection Done,270,Rainy,2023-03-17 13:00:00
Open Circuit,String-7_Module-4,Critical,7,Replace Module,Replace Module,563,Rainy,2023-02-17 17:00:00
Open Circuit,String-2_Module-4,Low,14,Tighten Connection,Tighten Connection,769,Cloudy,2023-03-22 03:00:00
Short Circuit,String-9_Module-14,Critical,7,Replace Module,Replace Module,962,Cloudy,2023-07-20 11:00:00
Short Circuit,String-8_Module-20,Critical,11,Replace Module,No Action,475,Rainy,2023-05-20 07:00:00
Hotspot,String-4_Module-15,Low,9,Clean Panel,Clean Panel,249,Rainy,2023-06-01 18:00:00
Short Circuit,String-6_Module-18,High,10,Replace Wiring,Inspection Done,557,Sunny,2023-05-03 10:00:00
Open Circuit,String-2_Module-15,Critical,10,Replace Module,No Action,927,Cloudy,2023-02-01 06:00:00
Short Circuit,String-4_Module-5,Low,12,Inspect Junction Box,Inspect Junction Box,763,Sunny,2023-07-12 17:00:00
Short Circuit,String-10_Module-7,Low,13,Inspect Junction Box,No Action,982,Rainy,2023-03-21 12:00:00
Hotspot,String-5_Module-5,Medium,3,Inspect Cells,No Action,684,Rainy,2023-02-14 08:00:00
Hotspot,String-1_Module-5,Medium,7,Inspect Cells,Inspection Done,283,Sunny,2023-01-06 01:00:00
Hotspot,String-1_Module-6,Medium,1,Inspect Cells,Inspect Cells,837,Rainy,2023-04-01 13:00:00
Open Circuit,String-9_Module-4,Medium,4,Replace Connector,Replace Connector,783,Rainy,2023-01-22 16:00:00
Shadowing,String-10_Module-4,Critical,13,Reinstall Module,Inspection Done,495,Cloudy,2023-06-04 06:00:00
Short Circuit,String-9_Module-10,Low,4,Inspect Junction Box,Inspection Done,435,Rainy,2023-06-06 08:00:00
Open Circuit,String-7_Module-4,Low,14,Tighten Connection,Tighten Connection,255,Cloudy,2023-06-17 08:00:00
Shadowing,String-10_Module-5,Low,5,Clean Panel,Clean Panel,559,Sunny,2023-01-23 10:00:00
Short Circuit,String-10_Module-18,High,7,Replace Wiring,Inspection Done,309,Rainy,2023-04-21 23:00:00
Shadowing,String-10_Module-14,High,7,Adjust Tilt,Inspection Done,391,Cloudy,2023-02-03 20:00:00
Open Circuit,String-4_Module-14,Medium,13,Replace Connector,Replace Connector,292,Cloudy,2023-04-26 16:00:00
Shadowing,String-2_Module-11,Critical,11,Reinstall Module,Inspection Done,767,Cloudy,2023-05-26 16:00:00
Hotspot,String-8_Module-3,High,13,Replace Panel Section,No Action,259,Cloudy,2023-02-01 03:00:00
Open Circuit,String-6_Module-5,Low,4,Tighten Connection,No Action,849,Cloudy,2023-07-09 21:00:00
Open Circuit,String-7_Module-12,High,13,Replace Wiring,No Action,238,Rainy,2023-05-25 08:00:00
Open Circuit,String-6_Module-4,High,7,Replace Wiring,Replace Wiring,739,Rainy,2023-07-17 06:00:00
Short Circuit,String-4_Module-4,Medium,11,Replace Fuse,Replace Fuse,248,Rainy,2023-04-30 12:00:00
Hotspot,String-4_Module-14,Low,3,Clean Panel,Inspection Done,619,Cloudy,2023-07-11 11:00:00
Open Circuit,String-5_Module-10,High,6,Replace Wiring,No Action,836,Sunny,2023-04-26 23:00:00
Hotspot,String-10_Module-13,Low,12,Clean Panel,No Action,212,Sunny,2023-01-24 18:00:00
Short Circuit,String-9_Module-7,Low,2,Inspect Junction Box,Inspection Done,235,Sunny,2023-05-09 09:00:00
Shadowing,String-6_Module-10,Critical,10,Reinstall Module,No Action,300,Cloudy,2023-04-21 17:00:00
Open Circuit,String-10_Module-2,Low,13,Tighten Connection,No Action,993,Sunny,2023-01-28 20:00:00
Hotspot,String-8_Module-20,Critical,14,Replace Module,Replace Module,285,Rainy,2023-05-31 21:00:00
Shadowing,String-2_Module-12,High,9,Adjust Tilt,Inspection Done,715,Sunny,2023-05-27 17:00:00
Open Circuit,String-10_Module-16,High,5,Replace Wiring,Inspection Done,422,Rainy,2023-06-29 20:00:00
Hotspot,String-10_Module-2,Low,6,Clean Panel,Clean Panel,537,Sunny,2023-01-03 14:00:00
Short Circuit,String-5_Module-10,High,12,Replace Wiring,No Action,365,Sunny,2023-04-22 23:00:00
Open Circuit,String-7_Module-6,Low,12,Tighten Connection,Inspection Done,582,Cloudy,2023-02-14 02:00:00
Shadowing,String-6_Module-3,Medium,12,Remove Obstruction,Inspection Done,575,Rainy,2023-05-16 12:00:00
Open Circuit,String-2_Module-11,Critical,12,Replace Module,Replace Module,670,Sunny,2023-07-16 12:00:00
Shadowing,String-7_Module-10,Critical,4,Reinstall Module,Inspection Done,989,Rainy,2023-02-09 07:00:00
Shadowing,String-10_Module-15,Low,14,Clean Panel,No Action,841,Cloudy,2023-05-04 12:00:00
Open Circuit,String-7_Module-19,Critical,14,Replace Module,No Action,230,Sunny,2023-05-17 16:00:00
Open Circuit,String-6_Module-8,Critical,11,Replace Module,Inspection Done,574,Cloudy,2023-04-24 16:00:00
Short Circuit,String-2_Module-17,Low,10,Inspect Junction Box,Inspection Done,210,Rainy,2023-06-24 01:00:00
Short Circuit,String-3_Module-8,High,7,Replace Wiring,Inspection Done,501,Cloudy,2023-02-05 02:00:00
Short Circuit,String-10_Module-5,High,12,Replace Wiring,No Action,295,Sunny,2023-01-26 17:00:00
Short Circuit,String-10_Module-15,Critical,9,Replace Module,Inspection Done,389,Cloudy,2023-07-12 16:00:00
Hotspot,String-2_Module-16,High,7,Replace Panel Section,Replace Panel Section,652,Sunny,2023-05-31 22:00:00
Hotspot,String-6_Module-17,High,14,Replace Panel Section,No Action,391,Rainy,2023-01-26 07:00:00
Hotspot,String-1_Module-12,Critical,1,Replace Module,No Action,685,Cloudy,2023-04-08 23:00:00
Open Circuit,String-9_Module-13,Low,1,Tighten Connection,Inspection Done,465,Rainy,2023-06-07 22:00:00
Open Circuit,String-4_Module-11,Critical,9,Replace Module,Inspection Done,623,Rainy,2023-07-26 12:00:00
Shadowing,String-2_Module-11,Medium,11,Remove Obstruction,Remove Obstruction,327,Sunny,2023-01-29 18:00:00
Short Circuit,String-8_Module-15,Low,14,Inspect Junction Box,Inspection Done,437,Sunny,2023-06-28 21:00:00
Short Circuit,String-7_Module-14,High,9,Replace Wiring,Replace Wiring,554,Cloudy,2023-04-26 11:00:00
Open Circuit,String-2_Module-18,High,4,Replace Wiring,Replace Wiring,311,Sunny,2023-05-12 22:00:00
Hotspot,String-10_Module-5,High,13,Replace Panel Section,Inspection Done,645,Rainy,2023-04-24 18:00:00
Open Circuit,String-7_Module-5,Medium,9,Replace Connector,Replace Connector,542,Cloudy,2023-07-23 02:00:00
Open Circuit,String-6_Module-5,High,3,Replace Wiring,Replace Wiring,344,Rainy,2023-06-29 16:00:00
Open Circuit,String-1_Module-12,Critical,7,Replace Module,Replace Module,264,Rainy,2023-04-16 10:00:00
Short Circuit,String-4_Module-8,Medium,6,Replace Fuse,Replace Fuse,446,Cloudy,2023-02-16 22:00:00
Short Circuit,String-9_Module-18,Low,8,Inspect Junction Box,No Action,934,Cloudy,2023-06-29 17:00:00
Open Circuit,String-10_Module-13,High,11,Replace Wiring,No Action,689,Rainy,2023-02-22 15:00:00
Short Circuit,String-3_Module-15,Medium,9,Replace Fuse,Inspection Done,638,Rainy,2023-01-15 21:00:00
Shadowing,String-4_Module-15,High,14,Adjust Tilt,Inspection Done,305,Rainy,2023-04-08 06:00:00
Shadowing,String-5_Module-16,Medium,5,Remove Obstruction,No Action,380,Rainy,2023-03-08 05:00:00
Hotspot,String-7_Module-17,Critical,1,Replace Module,Replace Module,383,Cloudy,2023-06-30 00:00:00
Shadowing,String-3_Module-9,Medium,3,Remove Obstruction,Inspection Done,425,Sunny,2023-01-18 19:00:00
Shadowing,String-9_Module-4,High,10,Adjust Tilt,No Action,976,Rainy,2023-04-08 07:00:00
Open Circuit,String-9_Module-5,Medium,12,Replace Connector,Replace Connector,989,Cloudy,2023-05-30 07:00:00
Open Circuit,String-1_Module-14,Medium,8,Replace Connector,Replace Connector,288,Cloudy,2023-01-19 04:00:00
Shadowing,String-2_Module-12,High,11,Adjust Tilt,Adjust Tilt,887,Sunny,2023-03-18 15:00:00
Open Circuit,String-6_Module-5,High,6,Replace Wiring,Inspection Done,729,Sunny,2023-02-16 23:00:00
Open Circuit,String-3_Module-16,High,8,Replace Wiring,Inspection Done,570,Cloudy,2023-06-03 02:00:00
Open Circuit,String-4_Module-5,Low,9,Tighten Connection,Tighten Connection,598,Sunny,2023-07-07 07:00:00
Shadowing,String-5_Module-4,Low,4,Clean Panel,No Action,305,Cloudy,2023-01-17 07:00:00
Short Circuit,String-8_Module-3,Critical,1,Replace Module,Inspection Done,470,Rainy,2023-02-07 20:00:00
Shadowing,String-10_Module-8,Low,14,Clean Panel,Inspection Done,702,Rainy,2023-02-19 00:00:00
Hotspot,String-6_Module-8,Critical,1,Replace Module,Inspection Done,878,Sunny,2023-07-14 18:00:00
Shadowing,String-2_Module-17,Medium,10,Remove Obstruction,Inspection Done,724,Rainy,2023-05-04 02:00:00
Open Circuit,String-1_Module-13,Low,4,Tighten Connection,Tighten Connection,231,Cloudy,2023-05-08 10:00:00
Hotspot,String-6_Module-8,Low,12,Clean Panel,No Action,592,Cloudy,2023-02-05 09:00:00
Hotspot,String-9_Module-11,Medium,14,Inspect Cells,Inspect Cells,239,Sunny,2023-03-01 18:00:00
